Ilex chinensis	species	Aquifoliaceae
Pythium apiculatum	species	Pythiaceae
Viola x balearica	species	Violaceae
Chamaecrista rotundata	species	Fabaceae
Ichnanthus bambusiflorus	species	Poaceae
Oncidium beyrodtioides	species	Orchidaceae
Megaloblastenia marginiflexa	species	Megalosporaceae
Trichoderma sulphureum	species	Hypocreaceae
Convolvulus environmental sample	species	Convolvulaceae
Cortinarius sp. OTA61427	species	Cortinariaceae
Stegonsporium opalus	species	Stilbosporaceae
Phaeoacremonium minimum	species	Togniniaceae
Microstegium vimineum	species	Poaceae
Nitella imperialis	species	Characeae
Calopteryx taurica	species	Calopterygidae
Ulmaridae	family	Ulmaridae
Tinopsis	genus	Sapindaceae
Scorzonera	genus	Asteraceae
Trichobilharzia anseri	species	Schistosomatidae
Aglaia apiocarpa	species	Meliaceae
Xenopus laevis	species	Pipidae
Termitomyces sp. K1mi	species	Lyophyllaceae
Leymus erianthus	species	Poaceae
Sparassis	genus	Sparassidaceae
Neocalanus	genus	Calanidae
Cenchrus hohenackeri	species	Poaceae
Croton tomentellus	species	Euphorbiaceae
Carex thouarsii	species	Cyperaceae
Anotogaster kuchenbeiseri	species	Cordulegastridae
Lobariella pallida	species	Lobariaceae
Fontanospora fusiramosa	species	Helotiaceae
Carex diandra	species	Cyperaceae
Cercospora carotae	species	Mycosphaerellaceae
Cortinarius bellus	species	Cortinariaceae
Pisolithus sp. ECPB2	species	Pisolithaceae
Memnoniella oenanthes	species	Stachybotryaceae
Termitomyces sp. V1mi	species	Lyophyllaceae
Phallaceae	family	Phallaceae
Malus yunnanensis	species	Rosaceae
Lilaeopsis mauritiana	species	Apiaceae
Gyrodactylus pseudonemacheili	species	Gyrodactylidae
Cymbalaria	genus	Plantaginaceae
Pyropia haitanensis	species	Bangiaceae
Phlyctema vincetoxici	species	Dermateaceae
Glycinde armigera	species	Goniadidae
Roldana petasitis	species	Asteraceae
Longidorus baeticus	species	Longidoridae
Lecanthus peduncularis	species	Urticaceae
Tubeufia aurantiella	species	Tubeufiaceae
Bruguiera parviflora	species	Rhizophoraceae
Adenocarpus foliolosus	species	Fabaceae
Colletotrichum sp. CH90-M1	species	Glomerellaceae
Croton cf. tessmannii Tipaz 1163	species	Euphorbiaceae
Pythium macrosporum	species	Pythiaceae
